State,City,Hospital name,Address,Pincode,Contact number,Address,Status geocode,Formatted address,Latitude,Longitude,Type,Street,Postal code,City,Country,Region
Tamil Nadu,Chennai,Sri Venkateshwara'S C. M. Hospital,"No. 1, 47Th Street, 5Th Main Road",600061,9962778666,"No. 1, 47Th Street, 5Th Main Road","Ok, partial match","1 W 47th St #5th, New York, NY 10036, USA",40.7571116,-73.9792918,subpremise,West 47th Street,10036,New York,United States,New York
Tamil Nadu,Chennai,Srm Institutes For Medical Science (Sims),"No.1, Jawaharlal Nehru Salai (100 Ft Road), Vadapalani",600026,04443969995,"No.1, Jawaharlal Nehru Salai (100 Ft Road), Vadapalani","Ok, partial match","100 Feet Rd & 100 Feet Rd, Velachery, Chennai, Tamil Nadu 600042, India",12.9754604,80.2207071,intersection,,600042,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,St Isabels Hospital,"49, Oliver Road, Musiri Subramaniam Rd Next to Luz Church, Mylapore",600004,04424991081/82/83,"49, Oliver Road, Musiri Subramaniam Rd Next to Luz Church, Mylapore","Ok, partial match","49, Oliver Rd, next to Luz Church, Kattukoil Garden, Mylapore, Chennai, Tamil Nadu 600004, India",13.0392713,80.2618376,street_address,Oliver Road,600004,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Star Bone Joint Centre,New NO 158 Old No 264 Triplicane High Road,600005,04442061992,New NO 158 Old No 264 Triplicane High Road,"Ok, partial match","264, Triplicane High Rd, Indra Nagar, Ellis Puram, Padupakkam, Triplicane, Chennai, Tamil Nadu 600014, India",13.0649005,80.2739906,street_address,Triplicane High Road,600014,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Sudar Hospitals,Sudar hospitals 30 Ayyasamy Street Nehru Nagar Chromepet,600045,9941570570,Sudar hospitals 30 Ayyasamy Street Nehru Nagar Chromepet,"2 found, use single geocode.","30, Ayyasamy St, Nehru Nagar, Chromepet, Chennai, Tamil Nadu 600044, India",12.9429751,80.1419967,subpremise,Ayyasamy Street,600044,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Sugam Hospital,"No.349, Thivvottiyur High Road, Thiruvvotiyur",600019,04440506070,"No.349, Thivvottiyur High Road, Thiruvvotiyur","Ok, partial match","349, Thiruvottiyur High Rd, Tiruvottiyur, Chennai, Tamil Nadu 600019, India",13.1683515,80.3044245,street_address,Thiruvottiyur High Road,600019,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Tagore Medical College & Hospital,"Rathinamangalam, Melakkottaiyur Post",600127,04430101111,"Rathinamangalam, Melakkottaiyur Post","Ok, partial match","Rathinamangalam, Tamil Nadu, India",12.8615603,80.1388654,"locality, political",,,Rathinamangalam,India,Tamil Nadu
Tamil Nadu,Chennai,The Madras Medical Mission,"AA-Dr Jayalalitha Nagar,Mogappair,",600037,04426568000,"AA-Dr Jayalalitha Nagar,Mogappair,","Ok, partial match","J J Nagar, Mogappair East, Chennai, Tamil Nadu, India",13.0859506,80.1833217,"political, sublocality, sublocality_level_2",,,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Vanaja Hospital,"#4/198, M.A Koil Street, M.A Nagar, Redhills",600052,044 2632 2713,"#4/198, M.A Koil Street, M.A Nagar, Redhills","Ok, partial match","M.A.Nagar, Padianallur, Tamil Nadu 600052, India",13.2002927,80.174254,"political, sublocality, sublocality_level_3",,600052,Padianallur,India,Tamil Nadu
Tamil Nadu,Chennai,Vasantha Subramanian Hospitals Pvt Ltd,"13, East Spurtank Road Chetpet",600031,04442001000,"13, East Spurtank Road Chetpet",Ok,"13, E Spur Tank Rd, Sulaiman Zackria Avenue, Chetpet, Chennai, Tamil Nadu 600031, India",13.0721168,80.2518381,street_address,East Spur Tank Road,600031,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Velachery K. S. Hospital,"No. 14, 10Th, Cross Street, A. G. S Coloy, Velachery, Chennai",600042,9962022522,"No. 14, 10Th, Cross Street, A. G. S Coloy, Velachery, Chennai",Ok,"14, 10th Cross St, Nethaji Colony, Rajiv Nagar, Velachery, Chennai, Tamil Nadu 600042, India",12.9822906,80.2125613,street_address,10th Cross Street,600042,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Vihaa Hospital,"No 5 E-block,3rd Avenue,Anna nagar east",600102,9710400000,"No 5 E-block,3rd Avenue,Anna nagar east",Ok,"H-5, 3rd Ave, Block H, Annanagar East, Chennai, Tamil Nadu 600102, India",13.089183,80.218447,street_address,3rd Avenue,600102,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,"Vijaya Medical And Education Trust ( Unit O
Vijaya Hospital , Vijaya Health Centre , Vijaya Heart Foundation )","Old no. 180, New no. 434 NSK salai, 323 Arcod Road, Vadapalani",600026,04466616661,"Old no. 180, New no. 434 NSK salai, 323 Arcod Road, Vadapalani","2 found, use single geocode.","323, Arcot Rd, Vadapalani, Chennai, Tamil Nadu 600026, India",13.0500723,80.2117106,street_address,Arcot Road,600026,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Vinita Hospital,"70 Josier Street,Tirumurthy Nagar,Nunganbakkam",600034,04425548287,"70 Josier Street,Tirumurthy Nagar,Nunganbakkam",Ok,"70, Josier St, Tirumurthy Nagar, Nungambakkam, Chennai, Tamil Nadu 600034, India",13.054457,80.245372,street_address,Josier Street,600034,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Xcellent Care Super-Speciality Hospital Pvt   Ltd,"No. 7/14, 7Th Cross Street, Rajalakshmi Nagar, Velachery, Chennai, Tamilnadu",600042,04440000006,"No. 7/14, 7Th Cross Street, Rajalakshmi Nagar, Velachery, Chennai, Tamilnadu",Ok,"7/1A, 7th Cross Street, near Andhra Bank, Rajalakshmi Nagar, Velachery, Chennai, Tamil Nadu 600042, India",12.985656,80.2182439,street_address,7th Cross Street,600042,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,A4 Hospital,"No-87 Arcot Road,Virugambakkam chennai",600092,044 - 42952244,"No-87 Arcot Road,Virugambakkam chennai",Ok,"Surya Apartment Ews, SURYA APARTMENT, 87, Arcot Rd, next to Avichi School, AVM Nagar, Saligramam, Chennai, Tamil Nadu 600093, India",13.0476913,80.1963549,premise,Arcot Road,600093,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai City Corporation,Rainbow Childrens Medicare Private Limite,"No. 157, Annasalai, Guindy,\\\\Nchennai d
&Amp;Ndash; 600015.\\\\Ntamilnadu.",600015,04440122444,"No. 157, Annasalai, Guindy,\\\\Nchennai d
&Amp;Ndash; 600015.\\\\Ntamilnadu.","Ok, partial match","157, Anna Salai, Little Mount, Guindy, Chennai, Tamil Nadu 600015, India",13.0139913,80.2226464,premise,Anna Salai,600015,Chennai,India,Tamil Nadu
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
